query,boundary
皇玺集团在2023年第一季度的财务回顾中提到了哪些行政开支变化？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些亏损变化？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些所得税开支变化？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些财务成本变化？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些其他收入变化？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些燃料及公用设施开支变化？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些折旧开支变化？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些员工成本变化？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些资产抵押情况？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些上市所得款项用途？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些发行股份所得款项用途？,1
报告中提到的餐饮板块的广州酒家的业绩如何？,0
报告中提到的餐饮板块的奈雪的茶的业绩如何？,0
报告中提到的酒店板块的亚朵的业绩如何？,0
报告中提到的餐饮板块的同庆楼的业绩如何？,0
报告中提到的酒店板块的集团的经营数据如何？,0
报告中提到的餐饮板块的海伦司的业绩如何？,0
报告中提到的酒店板块的锦江酒店的经营数据如何？,0
报告中提到的酒店板块的金陵饭店的业绩如何？,0
报告中提到的酒店板块的首旅酒店的拓店情况如何？,0
皇玺集团在2023年第一季度有分配股息吗？,1
皇玺集团在2023年第一季度的毛利是多少？,1
皇玺集团在2023年第一季度的其他收入及其他收益或亏损是多少？,1
皇玺集团在2023年第一季度的除税前亏损是多少？,1
皇玺集团在2023年第一季度的行政开支是多少？,0
皇玺集团在2023年第一季度的折旧开支是多少？,1
皇玺集团在2023年第一季度的物业租金及相关开支是多少？,0
皇玺集团在2023年第一季度的经营亏损是多少？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些成本变化？,1
皇玺集团在2023年第一季度的借贷总额是多少？,1
皇玺集团在2023年第一季度的业务回顾中提到了哪些挑战？,1
皇玺集团在2023年第一季度的业务回顾中提到了哪些策略？,1
皇玺集团在2023年第一季度的业务回顾中提到了哪些餐厅品牌？,1
皇玺集团在2023年第一季度的业务回顾中提到了哪些餐厅的开业和结业？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些收入变化？,1
皇玺集团的主要营业地点在哪里？,0
投资GEM上市公司的股票存在哪些风险？,0
皇玺集团在2023年第一季度的未经审核收益是多少？,0
皇玺集团在2023年第一季度的未经审核亏损额是多少？,1
皇玺集团在2023年第一季度的每股基本及摊薄亏损是多少？,1
皇玺集团在2023年第一季度是否派发了股息？,1
皇玺集团的注册办事处地址是什么？,1
皇玺集团控股国际有限公司的2023年第一季度报告中提到的公司主营业务是什么？,1
皇玺集团的最终控股公司是哪一家？,1
皇玺集团的财务报表是否经过审计？,1
皇玺集团的收益来源是什么？,1
皇玺集团在2023年第一季度的财务成本是多少？,1
皇玺集团在2023年第一季度的所得税开支是多少？,1
皇玺集团在2023年第一季度的员工成本是多少？,1
报告中提到的GEM是什么？,1
报告中提到的餐饮板块的海底捞的经营策略是什么？,0
报告中提到的餐饮板块的海伦司的门店增长情况如何？,0
报告中提到的酒店板块的首旅酒店的毛利率如何？,0
报告中提到的酒店板块的华住集团的毛利率如何？,0
报告中提到的酒店板块的锦江酒店的归母净利润如何？,0
报告中提到的餐饮板块的同庆楼的门店增长情况如何？,0
报告中提到的酒店板块的亚朵的拓店情况如何？,0
报告中提到的餐饮板块的九毛九的门店增长情况如何？,0
报告中提到的餐饮板块的经营能力如何？,0
报告中提到的酒店板块的华住集团的业绩如何？,0
报告中提到的餐饮板块的海底捞的表现如何？,0
报告中提到的酒店板块的君亭酒店的业绩如何？,0
报告中提到的餐饮板块的百胜中国的业绩如何？,0
报告中提到的酒店板块的锦江酒店的拓店目标如何？,0
报告中提到的餐饮板块的瑞幸咖啡的门店增长情况如何？,0
报告中提到的酒店板块的首旅酒店的业绩如何？,0
报告中提到的餐饮板块的九毛九的业绩如何？,0
报告中提到的餐饮板块的百胜中国的门店增长情况如何？,0
报告中提到的酒店板块的君亭酒店的拓店情况如何？,0
报告中提到的餐饮板块的瑞幸咖啡的同店增速如何？,0
报告中提到的酒店板块的金陵饭店的经营数据如何？,0
报告中提到的酒店餐饮行业最近12个月的市场表现如何？,0
报告中提到的酒店板块的商旅需求情况如何？,0
报告中提到的餐饮行业的营收增长情况如何？,0
报告中提到的酒店业绩的主要驱动因素是什么？,0
报告中提到的投资建议是什么？,0
报告的投资评级是什么？,0
报告的发布日期是什么时候？,0
报告的SAC证书编号是什么？,0
报告中提到的餐饮板块的同店表现如何？,0
报告中提到的餐饮板块的龙头品牌表现如何？,0
报告中提到的风险提示有哪些？,0
报告中提到的餐饮板块的盈利水平受哪些因素影响？,0
报告中提到的酒店板块的RevPAR增长情况如何？,0
报告中提到的酒店板块的业绩端表现如何？,0
报告中提到的酒店板块的新开店情况如何？,0
报告中提到的餐饮板块的扩张能力如何？,0
报告中提到的酒店板块的海外利息费用情况如何？,0
皇玺集团在2023年第一季度的财务回顾中提到了哪些或然负债？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些报告期后事项？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些外汇风险？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些库务政策及风险管理？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些主要风险及不明朗因素？,1
皇玺集团在2023年第一季度的财务回顾中提到了哪些展望？,1
这篇报告的发布机构是哪家？,0
报告的作者是谁？,0
皇玺集团在2023年第一季度的期内亏损及全面亏损总额是多少？,1
皇玺集团在2023年第一季度的资产负债比率是多少？,1
皇玺集团在2023年第一季度的现金及现金等价物是多少？,1
